id_curso,nome_curso,sigla_curso
1,ADMINISTRAÇÃO,
2,AGRONOMIA,
3,ARQUITETURA E URBANISMO,
4,ARTES CÊNICAS,
5,ARTES VISUAIS,
6,BIBLIOTECONOMIA,
7,BIOMEDICINA,
8,BIOTECNOLOGIA,
9,CIÊNCIA DA COMPUTAÇÃO,CC
10,CIÊNCIAS AMBIENTAIS,
11,CIÊNCIAS BIOLÓGICAS,
12,CIÊNCIAS CONTÁBEIS,
13,CIÊNCIAS ECONÔMICAS,
14,CIÊNCIAS SOCIAIS,
15,CIÊNCIAS SOCIAIS - POLÍTICAS PÚBLICAS,
16,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,
17,DANÇA,
18,DESIGN DE AMBIENTES,
19,DESIGN DE MODA,
20,DESIGN GRÁFICO,
21,DIREÇÃO DE ARTE,
22,DIREITO,
23,ECOLOGIA E ANÁLISE AMBIENTAL,
24,EDUCAÇÃO DO CAMPO - CIÊNCIAS DA NATUREZA,
25,EDUCAÇÃO FÍSICA,
26,EDUCAÇÃO INTERCULTURAL - CIÊNCIAS DA CULTURA,
27,EDUCAÇÃO INTERCULTURAL - CIÊNCIAS DA LINGUAGEM,
28,EDUCAÇÃO INTERCULTURAL - CIÊNCIAS DA NATUREZA E MATEMÁTICA,
29,ENFERMAGEM,
30,ENGENHARIA AMBIENTAL E SANITÁRIA,
31,ENGENHARIA CIVIL,
32,ENGENHARIA DE ALIMENTOS,
33,ENGENHARIA DE COMPUTAÇÃO,
34,ENGENHARIA DE MATERIAIS,
35,ENGENHARIA DE PRODUÇÃO,
36,ENGENHARIA DE SOFTWARE,
37,ENGENHARIA DE TRANSPORTES,
38,ENGENHARIA ELÉTRICA,
39,ENGENHARIA FÍSICA,
40,ENGENHARIA FLORESTAL,
41,ENGENHARIA MECÂNICA,
42,ENGENHARIA QUÍMICA,
43,ESTATÍSTICA,
44,FARMÁCIA,
45,FILOSOFIA,
46,FÍSICA,
47,FÍSICA MÉDICA,
48,FISIOTERAPIA,
49,GEOGRAFIA,
50,GEOLOGIA,
51,GESTÃO DA INFORMAÇÃO,
52,HISTÓRIA,
53,INTELIGÊNCIA ARTIFICIAL,
54,JORNALISMO,
55,LETRAS: ESPANHOL,
56,LETRAS: ESTUDOS LITERÁRIOS,
57,LETRAS: FRANCÊS,
58,LETRAS: INGLÊS,
59,LETRAS: LIBRAS,
60,LETRAS: LINGUÍSTICA,
61,LETRAS: PORTUGUÊS,
62,LETRAS: TRADUÇÃO E INTEPRET. EM LIBRAS-PORTUGUÊS,
63,MATEMÁTICA,
64,MEDICINA,
65,MEDICINA VETERINÁRIA,
66,MUSEOLOGIA,
67,MÚSICA - CANTO,
68,MÚSICA - COMPOSIÇÃO,
69,MÚSICA - EDUCAÇÃO MUSICAL,
70,MÚSICA - ENSINO DO CANTO,
71,MÚSICA - ENSINO DO INSTRUMENTO MUSICAL,
72,MÚSICA - INSTRUMENTO MUSICAL,
73,MÚSICA - REGÊNCIA,
74,MUSICOTERAPIA,
75,NUTRIÇÃO,
76,ODONTOLOGIA,
77,PEDAGOGIA,
78,PEDAGOGIA - EDUCAÇÃO INFANTIL E ANOS INICIAIS DO ENSINO FUNDAMENTAL,
79,PSICOLOGIA,
80,QUÍMICA,
81,RELAÇÕES INTERNACIONAIS,
82,RELAÇÕES PÚBLICAS,
83,SERVIÇO SOCIAL,
84,SISTEMAS DE INFORMAÇÃO,SI
85,TEATRO,
86,ZOOTECNIA,
